id,nombre,dni,carrera,semestre,nota1,nota2,nota3,nota4
1402,Matias Chavez Rodriguez,32486346,Electronica,2,11,15,8,12
1403,Maria Torres Ramos,80661769,Electrica,10,17,15,14,13
1404,Natalia Medina Munoz,65049498,Industrial,7,15,14,9,12
1405,Adrian Ruiz Torres,43166482,Mecanica,7,9,15,17,20
1406,Adrian Cano Mendoza,36762076,Biomedica,7,12,15,16,8
1407,Lucia Vargas Silva,97850113,Ambiental,7,19,19,18,9
1408,Natalia Lopez Silva,48140674,Mecanica,8,11,12,15,9
1409,Mauricio Mendoza Diaz,92439500,Computacion,9,7,12,13,15
1410,Pablo Herrera Fernandez,39014963,Electronica,8,12,12,12,13
1411,Ricardo Guerrero Gonzalez,10430077,Mecanica,8,17,13,9,7
1412,Diana Cabrera Herrera,41698585,Civil,4,8,9,14,12
1413,Monica Torres Flores,10900567,Industrial,7,11,12,5,16
1414,Marco Mendoza Vargas,89405443,Biomedica,10,6,11,8,4
1415,Marco Mora Cruz,29642963,Civil,8,20,17,13,10
1416,Rodrigo Fuentes Cabrera,47776837,Ambiental,2,14,16,20,15
1417,Valentina Fuentes Sanchez,69989280,Electrica,6,19,12,13,14
1418,Patricia Perez Delgado,74410080,Civil,9,12,11,13,20
1419,Valeria Salinas Silva,83357105,Quimica,8,18,12,14,9
1420,Fernando Gonzalez Vargas,51238307,Quimica,8,14,9,15,16
1421,Camila Torres Rodriguez,89695303,Mecanica,5,20,15,11,15
1422,Matias Rios Castillo,92541270,Electronica,6,11,12,13,11
1423,Raul Medina Salinas,31297315,Biomedica,10,9,10,18,15
1424,Irene Ramos Silva,75331433,Electrica,6,9,17,10,13
1425,Andres Herrera Flores,84602546,Ambiental,1,17,14,9,8
1426,Ivan Vargas Rodriguez,87007511,Electronica,5,10,12,15,13
1427,Andres Salinas Soto,47351541,Sistemas,10,12,12,15,14
1428,Carlos Perez Paredes,45534733,Civil,3,13,12,9,10
1429,Andrea Campos Morales,72461481,Biomedica,7,15,10,13,12
1430,Gloria Castillo Morales,77289935,Computacion,6,13,16,9,17
1431,Renata Torres Medina,67942025,Biomedica,5,12,15,17,7
1432,Fernando Navarro Delgado,79683428,Sistemas,8,17,20,13,14
1433,Nicolas Ramirez Rios,62719246,Biomedica,1,13,13,10,16
1434,Sebastian Aguilar Espinoza,16005830,Computacion,7,15,16,20,6
1435,Emilio Diaz Ruiz,62215251,Industrial,9,7,11,11,11
1436,Valeria Jimenez Salinas,32725239,Mecanica,5,12,15,11,10
1437,Monica Lopez Alvarez,98334967,Quimica,2,14,7,13,10
1438,Leonardo Cabrera Morales,72022577,Quimica,7,16,17,11,11
1439,Felipe Cruz Paredes,42422801,Ambiental,6,17,11,17,13
1440,Cristian Soto Pena,14290886,Sistemas,4,18,14,18,16
1441,Gustavo Salinas Vargas,76134390,Computacion,3,12,11,6,10
1442,Fabian Martinez Munoz,32619452,Biomedica,3,11,19,14,3
1443,Mauricio Vega Morales,67551816,Mecanica,8,12,18,17,15
1444,Ana Paredes Campos,63992173,Ambiental,3,13,13,10,10
1445,Maria Alvarez Torres,95323254,Industrial,4,12,11,14,15
1446,Ana Fuentes Molina,25250742,Ambiental,8,11,13,5,11
1447,Natalia Salinas Ruiz,86771724,Electrica,6,16,15,7,13
1448,Monica Fernandez Cruz,13521962,Industrial,7,13,17,11,7
1449,Camila Alvarez Castillo,13444008,Electrica,7,13,12,8,9
1450,Cecilia Espinoza Reyes,99398199,Electrica,8,19,12,14,19
1451,Valentina Mendoza Garcia,13126896,Industrial,4,12,9,13,12
1452,Maria Pena Paredes,37194799,Computacion,4,10,16,7,10
1453,Alejandro Aguilar Morales,27047631,Industrial,3,8,5,15,8
1454,Alejandro Fernandez Guerrero,79516846,Computacion,7,12,14,14,9
1455,Valentina Pena Cano,14738977,Electronica,6,10,13,11,12
1456,Gloria Torres Silva,16109120,Industrial,4,13,14,15,7
1457,Ana Lopez Cabrera,85507142,Electrica,3,20,12,18,10
1458,Fernando Navarro Sanchez,20364178,Mecanica,7,7,16,17,15
1459,Fernando Jimenez Reyes,94930196,Industrial,8,20,20,15,9
1460,Lorena Soto Delgado,64830124,Computacion,2,12,16,13,15
1461,Maria Gonzalez Medina,96832679,Electrica,6,18,13,20,10
1462,Paula Cruz Rodriguez,47724811,Computacion,5,12,20,17,4
1463,Mauricio Flores Martinez,80833579,Electrica,3,12,9,15,15
1464,Mauricio Rojas Espinoza,77635111,Industrial,9,11,18,8,8
1465,Andres Aguilar Perez,93874999,Sistemas,1,10,16,8,15
1466,Fabian Delgado Navarro,55357968,Electronica,9,8,9,17,9
1467,Oscar Vargas Medina,99462081,Industrial,6,13,14,12,20
1468,Sofia Campos Morales,34210927,Mecanica,8,20,20,13,15
1469,Gustavo Lopez Cano,74936283,Sistemas,1,8,6,10,17
1470,Camila Perez Cabrera,55129700,Mecanica,6,11,15,17,12
1471,Carolina Ortiz Rios,51002121,Computacion,6,9,15,19,13
1472,Renata Ramos Guerrero,10662154,Mecanica,5,12,18,16,17
1473,Diana Ortiz Mendoza,81970670,Electronica,4,11,20,12,11
1474,Patricia Munoz Torres,58793310,Sistemas,4,5,9,9,12
1475,Hugo Munoz Castillo,68158270,Computacion,3,16,12,8,4
1476,Elena Romero Vega,36011125,Computacion,7,14,14,6,15
1477,Andrea Molina Diaz,87281534,Mecanica,9,13,9,19,16
1478,Valentina Flores Cano,68746551,Electronica,9,15,5,14,6
1479,Diana Vega Munoz,83754135,Electrica,10,12,10,12,12
1480,Felipe Fuentes Sanchez,10244794,Mecanica,7,2,4,10,13
1481,Fernando Mendoza Salinas,84657850,Sistemas,7,9,14,20,12
1482,Gustavo Soto Jimenez,79722587,Biomedica,4,14,14,14,8
1483,Alejandro Salinas Garcia,87389865,Quimica,1,15,17,10,19
1484,Camila Fuentes Pena,64791633,Electrica,5,9,12,20,15
1485,Mauricio Silva Romero,36435459,Quimica,7,9,15,11,13
1486,Leonardo Perez Ramirez,14335478,Computacion,5,6,12,16,14
1487,Mauricio Munoz Fuentes,24011550,Mecanica,2,13,16,15,9
1488,Diana Salinas Flores,32014902,Quimica,2,10,11,17,19
1489,Hernan Perez Mendoza,34665456,Quimica,9,10,16,16,14
1490,Fabian Rodriguez Munoz,54339828,Electrica,10,13,12,13,14
1491,Lorena Cabrera Romero,63030931,Quimica,4,9,14,15,13
1492,Patricio Reyes Ramos,88181171,Electrica,5,10,18,18,16
1493,Isabella Cano Pena,18207424,Industrial,7,20,9,13,15
1494,Julia Garcia Diaz,45146102,Mecanica,7,15,13,15,10
1495,Gustavo Herrera Ortiz,10400135,Industrial,8,7,16,10,12
1496,Paula Vega Salinas,84668210,Quimica,1,9,14,15,12
1497,Carlos Ortiz Castillo,59622234,Ambiental,5,13,8,9,13
1498,Marco Salinas Rodriguez,71589865,Ambiental,5,15,11,17,14
1499,Oscar Jimenez Aguilar,59072975,Biomedica,8,11,11,15,10
1500,Natalia Cruz Silva,44478549,Mecanica,4,8,9,10,13
1501,Hugo Medina Morales,55270271,Electrica,6,8,15,15,12
1502,Daniela Molina Alvarez,42705905,Sistemas,8,14,5,13,15
1503,Monica Lopez Navarro,86112532,Mecanica,8,19,13,11,17
1504,Andres Ruiz Jimenez,31980305,Industrial,7,15,7,20,10
1505,Rodrigo Pena Morales,37157387,Computacion,6,15,20,10,10
1506,Sebastian Jimenez Castillo,13545751,Quimica,1,7,8,14,12
1507,Helena Ortiz Jimenez,93341807,Electronica,9,14,11,17,19
1508,Antonella Alvarez Rodriguez,95684823,Mecanica,2,12,10,9,15
1509,Isabella Navarro Medina,21143254,Industrial,5,11,10,6,9
1510,Gloria Pena Ramirez,74620484,Electrica,1,20,19,10,15
1511,Alejandro Espinoza Sanchez,51835038,Biomedica,6,6,14,16,14
1512,Gabriela Sanchez Delgado,52519074,Industrial,4,13,16,15,11
1513,Sofia Rojas Ramirez,79575033,Mecanica,10,14,9,8,17
1514,Antonella Delgado Garcia,61175203,Sistemas,6,11,11,16,12
1515,Cristian Garcia Perez,98029086,Ambiental,10,13,16,13,18
1516,Adrian Cruz Soto,96434511,Biomedica,5,10,10,19,15
1517,Gabriela Reyes Campos,75688168,Civil,10,9,11,20,4
1518,Ana Martinez Martinez,25149946,Electronica,6,15,16,10,15
1519,Patricio Mora Paredes,73140037,Electrica,5,15,6,14,2
1520,Gustavo Perez Gonzalez,17033355,Biomedica,2,12,18,17,11
1521,Julia Silva Diaz,54955774,Ambiental,4,14,11,12,20
1522,Emilio Vega Cruz,54821783,Ambiental,3,11,9,18,10
1523,Hernan Torres Rojas,67357573,Ambiental,1,15,9,16,15
1524,Gloria Cruz Ortiz,58196970,Ambiental,1,7,8,7,14
1525,Andres Gonzalez Silva,97238209,Biomedica,10,12,12,12,13
1526,Diego Romero Romero,81417115,Industrial,7,15,19,11,15
1527,Marco Molina Pena,32051098,Electrica,10,8,5,12,8
1528,Elena Herrera Garcia,15309677,Mecanica,3,7,12,17,12
1529,Camila Soto Diaz,41652735,Computacion,5,13,9,13,11
1530,Mauricio Ruiz Navarro,77870773,Industrial,9,9,10,14,9
1531,Marco Morales Flores,77990850,Sistemas,1,13,8,14,6
1532,Cecilia Soto Chavez,66761764,Mecanica,2,9,14,12,16
1533,Gloria Herrera Diaz,25095603,Industrial,9,12,14,9,17
1534,Gloria Gonzalez Rojas,94089873,Biomedica,9,15,18,14,7
1535,Fernanda Fuentes Espinoza,66914251,Electronica,4,7,10,13,20
1536,Gabriela Mora Munoz,53999401,Quimica,9,7,12,14,15
1537,Monica Fernandez Pena,51846024,Industrial,1,6,18,16,17
1538,Hugo Ruiz Salinas,47607697,Sistemas,5,16,15,16,9
1539,Patricia Paredes Vega,67318356,Computacion,8,11,10,12,13
1540,Emilio Lopez Cano,51642344,Sistemas,8,18,14,19,10
1541,Monica Ruiz Delgado,52749538,Quimica,5,8,9,8,9
1542,Lucia Espinoza Rios,33639829,Civil,3,14,10,11,16
1543,Maria Ruiz Aguilar,32312489,Electrica,1,11,11,5,7
1544,Andrea Alvarez Flores,64685629,Quimica,3,17,11,11,14
1545,Fernanda Sanchez Morales,75330431,Ambiental,4,8,16,14,17
1546,Ignacio Fernandez Diaz,58844735,Industrial,1,15,9,11,8
1547,Helena Martinez Campos,97152403,Computacion,5,10,20,14,11
1548,Valentina Castillo Medina,46505103,Biomedica,7,16,10,12,15
1549,Helena Aguilar Alvarez,95378585,Computacion,9,7,10,3,20
1550,Diego Cano Ramos,52773689,Sistemas,6,13,14,14,15
1551,Adrian Fernandez Rios,24190985,Electronica,10,18,14,12,6
1552,Andres Rodriguez Perez,36115456,Sistemas,7,17,12,10,14
1553,Fabian Mora Navarro,82707845,Ambiental,3,18,12,12,12
1554,Beatriz Rios Gonzalez,26978636,Biomedica,3,16,17,13,3
1555,Valeria Mora Delgado,15533740,Computacion,3,12,6,17,15
1556,Diana Ramirez Salinas,43284272,Electronica,6,10,9,11,15
1557,Valentina Gonzalez Pena,79390201,Electronica,3,13,8,9,9
1558,Gloria Diaz Gonzalez,33713202,Quimica,5,8,14,14,19
1559,Julia Soto Martinez,88365024,Electrica,10,12,10,8,8
1560,Cecilia Martinez Cabrera,26560027,Mecanica,4,15,18,8,10
1561,Laura Ortiz Fernandez,89518130,Electrica,1,14,19,17,15
1562,Antonella Salinas Salinas,33566275,Electrica,7,13,14,10,16
1563,Julia Chavez Mendoza,73273939,Industrial,5,13,17,14,17
1564,Matias Soto Aguilar,42420413,Ambiental,3,13,11,2,16
1565,Isabella Chavez Mora,19212433,Quimica,7,19,11,9,15
1566,Monica Ruiz Molina,87597954,Electrica,3,15,13,15,9
1567,Camila Pena Lopez,80859122,Mecanica,8,15,15,18,15
1568,Rodrigo Lopez Espinoza,14900324,Electronica,5,13,17,10,18
1569,Carlos Cabrera Cano,47310590,Biomedica,5,8,16,16,16
1570,Natalia Vargas Cano,54166966,Industrial,7,10,14,15,14
1571,Patricia Salinas Sanchez,78725504,Computacion,1,15,15,12,16
1572,Daniela Jimenez Castillo,83041073,Quimica,4,16,8,17,11
1573,Oscar Rodriguez Morales,40467569,Ambiental,1,20,9,20,14
1574,Gloria Medina Fuentes,79931878,Sistemas,10,17,13,11,16
1575,Carlos Cano Perez,61819321,Biomedica,4,16,17,15,18
1576,Matias Cruz Martinez,73681475,Computacion,2,17,9,15,12
1577,Rodrigo Ruiz Delgado,59316288,Quimica,6,17,7,15,8
1578,Gabriela Paredes Ramirez,78825100,Industrial,6,16,11,10,12
1579,Elena Espinoza Ramirez,41113929,Sistemas,1,12,17,17,12
1580,Nicolas Mora Diaz,27547597,Ambiental,10,13,14,20,11
1581,Ivan Paredes Gonzalez,37112662,Electrica,9,9,7,11,13
1582,Cristian Campos Paredes,11817038,Electrica,6,16,15,11,14
1583,Natalia Ramos Perez,58054781,Sistemas,8,14,12,4,19
1584,Gustavo Vargas Herrera,26023343,Sistemas,5,10,7,14,20
1585,Patricia Aguilar Martinez,26849366,Mecanica,8,18,17,13,15
1586,Nicolas Torres Fernandez,34625699,Electrica,7,16,15,15,7
1587,Julia Ortiz Lopez,96973738,Quimica,10,5,12,12,20
1588,Emilio Aguilar Paredes,24488131,Biomedica,6,8,18,10,12
1589,Valentina Flores Sanchez,48505923,Mecanica,7,11,11,15,11
1590,Cecilia Romero Cruz,12796197,Electronica,10,14,15,16,18
1591,Mauricio Mora Vega,67124092,Mecanica,3,13,18,16,10
1592,Emilio Vargas Morales,20228649,Biomedica,7,11,15,20,13
1593,Isabella Ramos Cano,91387630,Electrica,8,10,7,8,10
1594,Elena Cabrera Aguilar,51564098,Electrica,7,18,17,14,13
1595,Lucia Diaz Cabrera,96867750,Mecanica,2,17,8,10,10
1596,Laura Garcia Romero,93955741,Ambiental,3,11,18,10,10
1597,Alejandro Fuentes Perez,25824276,Ambiental,4,15,17,11,9
1598,Tomas Mendoza Rojas,37415521,Sistemas,8,13,8,15,14
1599,Diana Fuentes Fuentes,46622915,Computacion,4,11,17,14,11
1600,Beatriz Cano Romero,66378624,Ambiental,6,14,7,13,10
1601,Ignacio Reyes Delgado,48590223,Computacion,7,19,11,9,11
1602,Patricia Cruz Mora,10132811,Electronica,2,5,16,11,11
1603,Lucia Medina Garcia,48274974,Civil,4,11,14,10,12
1604,Elena Navarro Aguilar,85940280,Quimica,9,16,14,14,5
1605,Patricia Lopez Navarro,83620743,Civil,7,5,12,17,0
1606,Andres Fuentes Paredes,84335557,Electronica,8,15,14,16,13
1607,Hugo Diaz Salinas,91765680,Mecanica,9,14,9,19,13
1608,Ricardo Medina Campos,88278884,Ambiental,6,13,12,12,14
1609,Mauricio Medina Fuentes,15994292,Electrica,1,13,10,15,11
1610,Paula Ramirez Ruiz,94270138,Civil,7,15,11,13,17
1611,Gustavo Romero Morales,70183461,Quimica,7,13,11,10,16
1612,Cecilia Herrera Garcia,68595465,Computacion,9,9,13,12,11
1613,Gabriela Munoz Vargas,57625936,Mecanica,2,10,14,15,5
1614,Elena Medina Lopez,32192948,Biomedica,10,12,11,13,6
1615,Oscar Cano Ortiz,42354829,Computacion,8,20,14,14,18
1616,Gabriela Medina Lopez,89869074,Computacion,7,10,16,19,7
1617,Oscar Aguilar Campos,74033243,Civil,9,14,9,16,17
1618,Camila Castillo Diaz,41827286,Computacion,9,9,14,14,11
1619,Helena Morales Molina,27328559,Industrial,8,5,19,20,14
1620,Daniela Romero Ramirez,74675908,Computacion,2,9,7,14,14
1621,Monica Medina Sanchez,66102123,Quimica,10,11,12,11,16
1622,Hernan Martinez Campos,36066029,Civil,10,17,11,8,11
1623,Raul Vargas Perez,10490149,Mecanica,5,13,17,8,17
1624,Ricardo Romero Alvarez,13885216,Computacion,5,13,7,14,16
1625,Fernando Cano Vargas,33803263,Ambiental,8,13,12,9,18
1626,Monica Ruiz Aguilar,93778381,Computacion,2,9,15,11,10
1627,Antonella Silva Aguilar,85195273,Biomedica,7,13,6,12,12
1628,Paula Reyes Herrera,63596949,Sistemas,5,13,18,10,16
1629,Isabella Alvarez Fuentes,39713986,Electrica,5,10,20,15,12
1630,Rodrigo Mora Soto,75708629,Mecanica,5,14,12,14,19
1631,Claudia Sanchez Chavez,82819508,Biomedica,2,14,15,13,8
1632,Irene Vega Paredes,41293646,Sistemas,10,18,16,10,14
1633,Raul Herrera Perez,65486337,Sistemas,4,13,16,17,10
1634,Javier Morales Romero,30535597,Mecanica,3,13,12,14,9
1635,Irene Lopez Salinas,73247592,Quimica,9,19,20,12,17
1636,Maria Pena Fernandez,13838625,Civil,8,10,12,10,20
1637,Beatriz Rojas Reyes,80468806,Mecanica,3,13,12,8,13
1638,Gloria Aguilar Rojas,27998019,Sistemas,6,13,20,9,18
1639,Patricio Chavez Medina,80590685,Electronica,5,16,20,14,6
1640,Marco Herrera Rojas,88625869,Electronica,1,4,13,16,14
1641,Adrian Garcia Molina,52670943,Mecanica,5,16,9,20,12
1642,Sofia Torres Munoz,99614258,Sistemas,4,16,11,13,10
1643,Lucia Medina Mendoza,64484731,Electrica,7,12,10,12,12
1644,Ricardo Molina Torres,30823226,Civil,7,20,7,12,19
1645,Carlos Garcia Martinez,55409590,Electrica,6,14,15,5,7
1646,Ignacio Munoz Cabrera,23837230,Electronica,4,7,13,15,12
1647,Daniela Cruz Romero,21537429,Biomedica,1,12,20,14,15
1648,Andres Delgado Molina,93656461,Biomedica,9,15,10,9,12
1649,Valentina Gonzalez Vargas,75800215,Civil,8,11,12,10,6
1650,Valeria Ramos Mendoza,54705044,Computacion,3,12,10,17,12
1651,Patricio Ramirez Cruz,70041660,Quimica,2,13,5,20,16
1652,Ricardo Pena Ramos,99904592,Biomedica,7,7,11,13,14
1653,Oscar Perez Paredes,48044676,Quimica,1,14,13,9,17
1654,Patricia Morales Cruz,70409499,Electrica,10,12,10,12,14
1655,Patricio Navarro Morales,29762459,Computacion,8,13,18,11,15
1656,Cristian Chavez Castillo,23291599,Electrica,3,8,13,10,18
1657,Beatriz Cruz Espinoza,55986367,Ambiental,5,5,6,7,17
1658,Hugo Delgado Castillo,69683796,Industrial,2,17,12,14,13
1659,Maria Jimenez Herrera,59063721,Quimica,5,14,15,14,10
1660,Raul Sanchez Castillo,58226231,Electrica,4,13,15,18,13
1661,Ana Perez Rojas,74588696,Ambiental,3,16,20,14,8
1662,Julia Espinoza Alvarez,67478707,Civil,8,4,10,14,18
1663,Andres Lopez Reyes,40270355,Biomedica,1,15,19,12,11
1664,Fernando Espinoza Rodriguez,18601799,Quimica,9,6,13,14,18
1665,Gloria Medina Espinoza,55452741,Ambiental,6,10,14,13,17
1666,Valeria Jimenez Vargas,98468461,Civil,9,11,12,9,13
1667,Pablo Espinoza Flores,53679906,Industrial,6,8,15,17,10
1668,Irene Perez Molina,81877637,Industrial,3,15,20,7,15
1669,Valentina Diaz Ortiz,37691086,Ambiental,10,10,12,14,12
1670,Fernando Mendoza Torres,70034910,Computacion,8,7,12,12,14
1671,Laura Mora Reyes,79375382,Biomedica,8,7,10,16,10
1672,Laura Diaz Navarro,52506292,Civil,5,13,15,8,15
1673,Gloria Cabrera Ramirez,22694470,Industrial,2,18,14,8,17
1674,Laura Navarro Fuentes,75858812,Electrica,9,12,12,7,16
1675,Adrian Morales Fuentes,68936308,Sistemas,1,12,6,9,16
1676,Raul Ramirez Reyes,95622245,Industrial,9,14,20,16,13
1677,Irene Munoz Vargas,72973352,Ambiental,3,9,13,8,16
1678,Rodrigo Herrera Romero,89850638,Mecanica,7,16,9,9,14
1679,Lorena Delgado Castillo,21043572,Quimica,4,19,12,11,18
1680,Leonardo Navarro Rios,76553521,Quimica,8,20,10,9,13
1681,Marcelo Molina Sanchez,16340350,Electrica,3,20,15,9,16
1682,Camila Rojas Vargas,45566534,Industrial,9,9,13,9,18
1683,Javier Diaz Salinas,54553864,Sistemas,5,11,11,12,15
1684,Fernando Lopez Castillo,91705745,Computacion,10,9,15,15,14
1685,Rodrigo Campos Cabrera,62667781,Civil,9,5,11,14,12
1686,Marcelo Cabrera Romero,11028811,Mecanica,5,17,13,11,12
1687,Lucia Cano Espinoza,72930442,Quimica,2,14,13,14,15
1688,Julia Cabrera Lopez,23949970,Industrial,1,10,17,18,16
1689,Mauricio Medina Pena,33411504,Electronica,5,20,9,12,16
1690,Javier Morales Fernandez,36589584,Computacion,6,9,20,17,18
1691,Carolina Cano Silva,11177426,Electrica,10,16,12,14,16
1692,Ricardo Espinoza Sanchez,23611333,Civil,4,15,16,14,15
1693,Carolina Sanchez Rios,65685699,Electronica,8,9,10,12,8
1694,Cristian Ortiz Campos,62377415,Sistemas,2,10,14,12,10
1695,Matias Rodriguez Aguilar,60239101,Computacion,8,15,16,11,20
1696,Adrian Silva Cruz,38481421,Electrica,7,13,19,13,12
1697,Elena Morales Reyes,14029609,Mecanica,6,18,11,9,14
1698,Pablo Alvarez Cabrera,87553629,Ambiental,3,14,10,8,10
1699,Alejandro Paredes Salinas,49181335,Quimica,5,18,11,6,15
1700,Raul Jimenez Flores,30868766,Civil,5,11,10,11,11
1701,Valeria Aguilar Morales,49761493,Sistemas,6,19,12,17,20
1702,Cristian Soto Morales,72842545,Electronica,7,13,14,16,7
1703,Rodrigo Alvarez Diaz,64890958,Industrial,9,8,15,17,11
1704,Hernan Paredes Jimenez,37279442,Electronica,8,6,16,9,7
1705,Sofia Fernandez Cabrera,96895153,Industrial,2,12,15,13,12
1706,Cecilia Silva Medina,32386174,Electronica,1,15,19,15,7
1707,Paula Alvarez Silva,33362024,Sistemas,5,8,18,14,14
1708,Diego Soto Mendoza,85303078,Sistemas,3,10,11,9,16
1709,Laura Herrera Cano,42553098,Civil,4,16,10,20,8
1710,Sofia Gonzalez Guerrero,90197703,Ambiental,7,13,13,13,13
1711,Hugo Martinez Perez,70979819,Industrial,6,15,7,17,12
1712,Tomas Garcia Perez,36105746,Quimica,9,16,16,10,17
1713,Paula Cano Rodriguez,32556995,Mecanica,4,12,13,9,8
1714,Antonella Flores Vargas,64697435,Computacion,7,5,12,10,20
1715,Helena Medina Fernandez,47225727,Computacion,10,13,12,16,14
1716,Antonella Paredes Chavez,72325517,Sistemas,10,11,15,14,9
1717,Fernando Fernandez Rios,45549874,Electrica,2,13,5,12,14
1718,Carlos Castillo Ruiz,15888894,Ambiental,4,9,9,6,15
1719,Hugo Silva Aguilar,47326622,Computacion,8,17,9,14,13
1720,Sofia Martinez Diaz,33846825,Electronica,1,11,14,19,15
1721,Carlos Cano Cruz,81553205,Civil,1,12,8,14,14
1722,Lucia Guerrero Molina,64084830,Electronica,5,17,15,14,18
1723,Elena Sanchez Gonzalez,75792880,Sistemas,5,11,10,19,14
1724,Tomas Sanchez Morales,62774850,Sistemas,8,8,12,12,13
1725,Adrian Perez Espinoza,33472872,Mecanica,1,14,20,13,17
1726,Renata Campos Fernandez,26953140,Quimica,6,16,19,19,19
1727,Javier Medina Jimenez,41033182,Electrica,6,17,11,9,11
1728,Carolina Martinez Paredes,25398672,Mecanica,8,9,20,15,13
1729,Andres Aguilar Diaz,73301656,Sistemas,8,10,11,9,17
1730,Ana Cabrera Salinas,50365613,Quimica,5,11,16,9,17
1731,Fernanda Perez Alvarez,26367743,Computacion,1,11,10,20,14
1732,Carolina Fernandez Herrera,69797987,Electronica,9,17,16,17,13
1733,Diana Mora Jimenez,38168627,Computacion,6,14,11,14,13
1734,Raul Espinoza Mora,40292374,Computacion,9,13,14,15,14
1735,Matias Jimenez Herrera,98461008,Biomedica,3,18,7,17,16
1736,Valeria Ramirez Vega,18489896,Electrica,3,16,9,14,14
1737,Lucia Martinez Soto,45833799,Ambiental,5,9,12,19,14
1738,Gabriela Silva Torres,22484922,Sistemas,4,11,12,11,5
1739,Valeria Munoz Aguilar,43463316,Civil,8,14,16,16,16
1740,Patricio Castillo Campos,93562307,Sistemas,3,11,11,14,12
1741,Camila Gonzalez Delgado,23267801,Quimica,5,15,19,16,20
1742,Emilio Morales Garcia,93957986,Biomedica,2,12,13,15,12
1743,Lucia Espinoza Delgado,63481146,Mecanica,9,17,12,15,13
1744,Gustavo Campos Reyes,40638983,Computacion,2,12,18,8,20
1745,Javier Sanchez Reyes,21848195,Industrial,3,12,10,16,10
1746,Rodrigo Vargas Fernandez,73761081,Electronica,6,19,19,12,13
1747,Ignacio Pena Vega,81975964,Sistemas,3,17,20,9,9
1748,Fabian Guerrero Rojas,80900164,Sistemas,6,8,17,12,17
1749,Oscar Mendoza Soto,51443605,Computacion,2,16,17,16,13
1750,Patricia Espinoza Rojas,35056257,Sistemas,5,18,13,16,10
1751,Paula Cabrera Romero,43098973,Industrial,3,13,13,14,12
1752,Sofia Rios Rios,36172791,Electronica,10,5,15,10,18
1753,Fernando Romero Alvarez,52262895,Civil,2,16,15,15,7
1754,Hugo Silva Delgado,99007852,Quimica,3,13,11,10,14
1755,Leonardo Silva Rojas,57268864,Civil,2,11,19,16,14
1756,Gabriela Chavez Rojas,30831287,Computacion,4,9,8,11,12
1757,Renata Campos Sanchez,44839735,Industrial,2,15,19,11,10
1758,Gloria Espinoza Mendoza,66618431,Industrial,5,11,16,7,13
1759,Andres Alvarez Soto,16586173,Quimica,4,13,7,14,17
1760,Sebastian Lopez Castillo,40092083,Biomedica,5,14,11,15,13
1761,Julia Sanchez Flores,63216795,Civil,3,10,13,16,12
1762,Rodrigo Vega Mora,51311281,Computacion,1,9,16,14,15
1763,Tomas Perez Salinas,50608484,Computacion,6,5,13,18,10
1764,Fabian Diaz Mendoza,71134925,Electronica,9,13,12,20,11
1765,Cristian Reyes Munoz,44299190,Electrica,4,18,14,15,11
1766,Raul Mendoza Cano,23671086,Ambiental,4,14,14,11,12
1767,Hernan Reyes Fernandez,17351079,Sistemas,7,12,16,11,14
1768,Fernando Vega Ruiz,38397729,Computacion,5,9,13,13,10
1769,Alejandro Cruz Fernandez,39406662,Quimica,2,19,10,13,19
1770,Paula Lopez Mendoza,37598636,Electrica,7,13,12,14,18
1771,Antonella Jimenez Castillo,49668545,Industrial,1,6,18,20,9
1772,Monica Romero Chavez,33100859,Computacion,2,13,18,20,14
1773,Hernan Cruz Cano,60784354,Biomedica,1,9,12,9,20
1774,Natalia Torres Aguilar,73640161,Biomedica,4,14,14,10,14
1775,Renata Ruiz Morales,21981384,Electrica,10,12,12,9,11
1776,Ivan Rojas Guerrero,46458801,Electronica,10,13,10,17,7
1777,Rodrigo Martinez Vargas,75427908,Electronica,4,11,17,14,7
1778,Lucia Navarro Martinez,54858824,Electronica,3,14,19,12,15
1779,Carlos Medina Mendoza,58917206,Electronica,3,13,14,9,16
1780,Mauricio Jimenez Torres,48878983,Biomedica,8,19,12,12,13
1781,Beatriz Perez Munoz,94896237,Quimica,3,3,14,13,13
1782,Tomas Ramirez Salinas,57618425,Civil,5,14,13,11,17
1783,Matias Pena Jimenez,69310098,Mecanica,4,13,19,17,10
1784,Maria Gonzalez Chavez,21804806,Sistemas,9,17,20,17,14
1785,Julia Soto Cano,34008815,Quimica,7,14,15,12,13
1786,Claudia Rios Garcia,94677599,Quimica,8,15,6,13,11
1787,Hernan Lopez Guerrero,23624028,Sistemas,9,7,14,12,10
1788,Natalia Rojas Vega,32304765,Industrial,1,16,11,13,15
1789,Emilio Navarro Martinez,20155387,Mecanica,7,12,7,13,19
1790,Sebastian Ruiz Lopez,60960646,Mecanica,8,20,17,6,16
1791,Felipe Fernandez Fernandez,62505071,Sistemas,8,18,16,18,11
1792,Cecilia Mora Navarro,76035110,Quimica,10,11,10,5,14
1793,Patricia Sanchez Pena,16428221,Electrica,5,20,10,13,8
1794,Beatriz Fernandez Ramos,74125811,Mecanica,2,17,5,13,8
1795,Carolina Salinas Diaz,81306317,Mecanica,1,4,10,17,15
1796,Valeria Flores Rios,45535808,Mecanica,6,13,15,17,16
